year,winner,cup,desc,points,GF,GA
2010,0,3,FA Cup,0,0,0
2010,1,4,Community Shield,0,0,0
2011,0,1,Premier League,0,0,0
2011,0,2,League Cup,0,0,0
2011,0,3,FA Cup,0,0,0
2011,1,4,Community Shield,0,0,0
2012,1,1,Premier League,0,0,0
2012,0,2,League Cup,0,0,0
2012,0,3,FA Cup,0,0,0
2012,0,4,Community Shield,0,0,0
2013,0,1,Premier League,0,0,0
2013,0,2,League Cup,0,0,0
2013,0,3,FA Cup,0,0,0
2013,1,4,Community Shield,0,0,0
2015,0,1,Premier League,0,0,0
2015,0,2,League Cup,0,0,0
2015,1,3,FA Cup,0,0,0
2015,0,4,Community Shield,0,0,0
2016,0,1,Premier League,0,0,0
2016,1,2,League Cup,0,0,0
2016,0,3,FA Cup,0,0,0
2016,1,4,Community Shield,0,0,0
2017,0,1,Premier League,0,0,0
2017,0,2,League Cup,0,0,0
2017,0,3,FA Cup,0,0,0
2017,0,4,Community Shield,0,0,0
2018,0,1,Premier League,0,0,0
2018,0,2,League Cup,0,0,0
2018,0,3,FA Cup,0,0,0
2018,0,4,Community Shield,0,0,0
2019,0,1,Premier League,0,0,0
2019,0,2,League Cup,0,0,0
2019,0,3,FA Cup,0,0,0
2019,0,4,Community Shield,0,0,0
